model_name,training_date,accuracy,roc_auc
LogisticRegression,2025-11-26 09:17:08,0.7320916905444126,
LogisticRegression,2025-11-26 09:18:04,0.7320916905444126,
LogReg,2025-12-01 12:22:36,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 12:22:38,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 12:22:40,0.6977077363896849,0.7029207735919517
LogReg,2025-12-01 12:25:24,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 12:25:25,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 12:25:27,0.6977077363896849,0.7029207735919517
LogReg,2025-12-01 12:31:53,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 12:31:55,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 12:31:56,0.6977077363896849,0.7029207735919517
LogReg,2025-12-01 12:48:33,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 12:48:35,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 12:48:37,0.6977077363896849,0.7029207735919517
LogReg,2025-12-01 14:34:23,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 14:34:24,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 14:34:26,0.6977077363896849,0.7029207735919517
LogReg,2025-12-01 14:45:40,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 14:45:42,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 14:45:44,0.6977077363896849,0.7029207735919517
LogReg,2025-12-01 15:19:52,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 15:19:54,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 15:19:55,0.6977077363896849,0.7029207735919517
LogReg,2025-12-01 15:39:03,0.7320916905444126,0.7054511299466995
RndForest,2025-12-01 15:39:04,0.83810888252149,0.8571887695632985
NaiveBayes,2025-12-01 15:39:06,0.6977077363896849,0.7029207735919517
